Strain,Type,Rating,Effects,Flavor,Description,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ",,,,,,0.0,0.011,0.003,0.0,0.001,0.0,0.0,0.075,0.001,0.007,0.0,0.074,0.045,0.0,0.192,1.583,,0.091,0.493,0.0,0.0,,0.43,0.0,24.35,0.0,0.0,0.09,0.0,0.0,0.0,0.5,0.18,0.0,
3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.125,0.253,0.023,0.0,0.637,0.19,,0.047,0.339,0.0,0.0,,1.16,0.0,20.52,0.0,0.0,0.03,0.0,0.0,0.0,0.42,0.07,0.0,
3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ",,,,,,0.0,0.003,0.004,0.0,0.002,0.0,0.0,0.096,0.0,0.0,0.007,0.069,0.012,0.0,0.201,0.57,,0.027,0.123,0.0,0.0,,0.77,0.0,13.62,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.05,0.0,
501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Earthy,Pine,Skunk","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",,,,,,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.094,0.0,0.0,0.029,0.037,0.031,0.0,0.133,0.427,,0.055,0.33,0.0,0.0,,0.4,0.01,22.18,0.02,0.0,0.08,0.0,0.0,0.02,0.71,0.08,0.0,
A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy","Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",,,,,,0.0,0.01,0.01,0.0,0.006,0.0,0.0,0.068,0.0,0.01,0.16,0.281,0.035,0.0,0.875,0.616,,0.07,0.5,0.0,0.0,,1.86,0.0,18.61,0.0,0.0,0.05,0.0,0.0,0.0,0.23,0.06,0.03,
Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Earthy,Pine,Woody","ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",,,,,,0.0,0.003,0.004,0.0,0.0,0.085,0.0,0.035,0.0,0.0,0.133,0.029,0.185,0.0,0.099,1.041,,0.09,0.103,0.0,0.0,,0.0,0.0,0.78,0.0,0.0,17.84,0.29,0.0,0.05,0.46,0.06,0.0,
Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Earthy,Pungent,Woody","Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47’s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.",,,,,,0.0,0.014,0.012,0.0,0.0,0.0,0.0,0.056,0.052,0.051,0.024,0.097,0.387,0.0,0.221,0.722,,0.14,0.229,0.0,0.0,,,,,,,,,,,,,,
Afghan-Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Earthy,Diesel,Chemical",Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds. ,,,,,,0.0,0.06,0.084,0.0,0.0,0.0,0.0,1.045,0.031,0.075,0.844,1.009,0.304,0.0,3.012,8.284,,0.503,3.484,0.0,0.0,,19.91,0.0,32.98,0.17,0.07,0.28,0.0,0.0,0.0,1.28,0.74,0.29,
Afghan-Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Earthy,Flowery,Tea","Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for. ",,,,,,0.0,0.022,0.01,0.0,0.0,0.0,0.0,0.053,0.0,0.015,0.036,0.105,0.065,0.0,0.253,0.162,,0.11,0.777,0.0,0.0,,0.29,0.01,24.8,0.02,0.0,0.09,0.0,0.0,0.0,1.29,0.13,0.03,
Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Pine","Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.054,0.0,0.0,0.165,0.179,0.0,0.375,0.535,,0.101,0.239,0.0,0.0,,2.18,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.08,0.03,
Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody","Afgoo, also known as Afgooey, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.",,,,,,0.0,0.0,0.0,0.0,0.001,0.036,0.0,0.044,0.186,0.004,0.015,0.024,0.063,0.0,0.064,1.176,,0.029,0.013,0.0,0.0,,0.49,0.0,20.61,0.0,0.0,0.05,0.0,0.0,0.0,0.65,0.07,0.0,
Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical","Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency. ",,,,,,0.042,0.006,0.0,0.0,0.0,0.056,0.0,0.072,0.0,0.409,0.0,0.035,0.056,0.039,0.055,0.158,,0.072,0.13,0.0,0.0,,1.24,0.0,17.11,0.0,0.0,0.11,0.0,0.0,0.0,0.15,0.05,0.0,
Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Sweet,Earthy,Diesel","Alien Hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating Tahoe Alien and LSD, a classic Amsterdam hybrid known for its trippy head buzz. Bred by Alien Genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation.",,,,,,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.055,0.108,0.0,0.03,0.059,0.486,0.0,0.241,0.513,,0.131,0.114,0.0,0.0,,0.52,0.0,22.57,0.01,0.0,0.05,0.0,0.0,0.0,1.08,0.05,0.0,
Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Lemon,Citrus","First available as a clone in California’s Bay Area and now in seed form from Cali Connection, Alien OG is a cross of Tahoe OG and Alien Kush. One of the most potent strains available today, this indica-dominant hybrid has tested as high as 28% THC. Alien OG has the typical lemon-pine “OG” smell and flavor, and an intense high that combines heavy indica body effects and a psychedelic cerebral buzz. Beginners and novices, be sure to take it slow with this heavy-hitter.",,,,,,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.117,0.046,0.0,0.346,0.455,,0.089,0.362,0.0,0.0,,0.91,0.0,22.02,0.0,0.0,0.05,0.0,0.0,0.0,0.59,0.12,0.0,
Allen-Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Citrus,Earthy,Pungent","A popular strain for sativa-lovers, Allen Wrench presents the best qualities of its parents, Trainwreck and NYC Diesel with crisp flavors of sour fruit. Its aroma has been characterized as sour and flowery, leaving a lingering scent of fruit. Allen Wrench is known to provide users with a long-lasting cerebral high and fill an entire room with its strong essence. The buds have a dark-green color and dark foliage with orange pistils growing out. Allen Wrench also has a 10-11 week flowering time and medium to medium-high THC content.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.067,0.101,0.0,0.194,1.293,,0.069,0.135,0.0,0.0,,75.45,0.57,0.2,0.53,3.31,0.06,0.3,0.0,0.0,0.0,2.34,0.1,
Alpha-Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Earthy,Blueberry,Sweet","Alpha Blue, also known as Dream Diesel (or DD), is a high-flying sativa that combines Blue Dream and NYC Diesel. In 2011 this compelling blend claimed two 2nd place prizes for a sativa at the High Times’ Medical Cup in Denver and San Francisco. Its buds are glazed with sugary trichomes and take on hues of deep red and violet. The aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and Haze upon exhale. The sweet fragrance of Alpha Blue brings with it uplifting effects that produce a calming, relaxed mood without putting you to sleep. The cerebral and happy buzz is a great tool when coping with stress and anxiety.",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.077,0.111,4.207,0.0,0.385,1.746,,1.86,0.682,0.0,0.0,,80.58,0.0,0.0,0.47,0.5,0.0,0.18,0.0,0.0,0.0,1.77,1.02,
