,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
0,Ice Cream Cake,Indica,NA,4.6,1039,THC 23%,CBG 1%,Sleepy,Caryophyllene
1,Gelato,Hybrid,"aka Gelato 42, Larry Bird",4.6,2219,THC 16%,CBD 0%,Euphoric,Caryophyllene
2,Blue Dream,Hybrid,NA,4.3,14300,THC 18%,CBD 0%,Creative,Myrcene
3,Sour Diesel,Sativa,"aka Sour D, Sour Deez",4.3,8264,THC 19%,CBD 0%,Energetic,Caryophyllene
4,Dosidos,Hybrid,"aka Dosi, Do-Si-Dos",4.6,1073,THC 20%,CBG 1%,Sleepy,Limonene
5,Apple Fritter,Hybrid,NA,4.5,346,THC 25%,CBD 0%,Relaxed,Caryophyllene
6,GSC,Hybrid,aka Girl Scout Cookies,4.4,7409,THC 19%,CBG 1%,Hungry,Caryophyllene
7,Zkittlez,Indica,"aka Skittles, Skittlz, Island Zkittlez",4.5,857,THC 20%,CBG 1%,Relaxed,Caryophyllene
8,OG Kush,Hybrid,aka Premium OG Kush,4.3,5476,THC 18%,CBD 0%,Hungry,Myrcene
9,Mac 1,Hybrid,aka The MAC,4.7,353,THC 22%,CBG 1%,Uplifted,Limonene
10,Biscotti,Hybrid,NA,4.6,393,THC 22%,CBG 2%,Tingly,Caryophyllene
11,Purple Punch,Indica,NA,4.6,1506,THC 18%,CBD 0%,Sleepy,Caryophyllene
12,White Widow,Hybrid,NA,4.3,4402,THC 15%,CBG 1%,Energetic,Myrcene
13,Jack Herer,Sativa,"aka JH, The Jack, Premium Jack, Platinum Jack",4.4,4842,THC 18%,CBG 1%,Energetic,Terpinolene
14,Mimosa,Hybrid,aka Purple Mimosa,4.5,948,THC 20%,CBG 1%,Energetic,Myrcene
15,Sherbert,Hybrid,"aka Sherbet, Sunset Sherbet, Sunset Sherbert",4.6,1563,THC 18%,CBG 1%,Relaxed,Caryophyllene
